Reporter,Partner,Date of Signature,Date of entry into force
Moldova,", Republic of Albania",11-Jun-04,23-Dec-04
Moldova,Austria,5-Jan-01,1-Aug-02
Moldova,Azerbaijan,27-Nov-97,28-Jan-99
Moldova,Belarus,28-May-99,19-Nov-99
Moldova,Belgium and Luxembourg,21-May-96,20-Apr-02
Moldova,Bosnia and Herzegovina,9-Apr-03,9-Jun-08
Moldova,Bulgaria,17-Apr-96,12-Jun-97
Moldova,China,6-Nov-92,1-Mar-95
Moldova,Croatia,5-Dec-01,20-Mar-07
Moldova,Cyprus,13-Sep-07,27-Mar-08
Moldova,Czech Republic,2-Sep-08,14-Sep-11
Moldova,Estonia,18-Jun-10,21-Apr-11
Moldova,Finland,25-Aug-95,21-Jun-97
Moldova,France,8-Sep-97,3-Nov-99
Moldova,Georgia,28-Nov-97,25-Feb-99
Moldova,Germany,28-Feb-94,15-Jun-06
Moldova,Greece,23-Mar-98,27-Feb-00
Moldova,Hungary,19-Apr-95,19-Aug-96
Moldova,"Iran, Islamic Republic of",30-May-95,---
Moldova,Israel,22-Jun-97,16-Mar-99
Moldova,Italy,19-Sep-97,26-Aug-01
Moldova,Kuwait,29-Mar-02,6-Apr-04
Moldova,Kyrgyzstan,7-Nov-02,16-Jan-04
Moldova,Latvia,22-Sep-99,14-Apr-00
Moldova,Lithuania,20-Sep-99,29-May-03
Moldova,Netherlands,26-Sep-95,1-May-97
Moldova,Poland,15-Nov-94,27-Jul-95
Moldova,Romania,14-Aug-92,15-Jun-97
Moldova,Russian Federation,17-Mar-98,18-Jul-01
Moldova,Slovakia,7-Apr-08,15-Nov-09
Moldova,Slovenia,10-Apr-03,1-Jun-04
Moldova,Spain,11-May-06,17-Jan-07
Moldova,Switzerland,30-Nov-95,29-Nov-96
Moldova,Tajikistan,5-Nov-02,20-Oct-03
Moldova,Turkey,14-Feb-94,16-May-97
Moldova,Ukraine,29-Aug-95,27-Sep-96
Moldova,United Kingdom,19-Mar-96,30-Jul-98
Moldova,United States,21-Apr-93,26-Nov-94
Moldova,Uzbekistan,21-Nov-95,17-Jan-97
